wl flux
3858.7 28.752
3859.8 31.279
3860.9 29.387
3861.9 28.417
3863.0 30.444
3864.1 30.302
3865.2 28.008
3866.3 28.94
3867.3 28.065
3868.4 28.762
3869.5 26.704
3870.6 28.749
3871.7 29.251
3872.7 29.99
3873.8 29.421
3874.9 28.757
3876.0 30.254
3877.1 28.915
3878.2 27.766
3879.2 27.933
3880.3 29.384
3881.4 27.839
3882.5 28.678
3883.6 28.054
3884.6 30.557
3885.7 28.989
3886.8 30.7
3887.9 28.837
3889.0 28.347
3890.0 31.434
3891.1 28.738
3892.2 28.293
3893.3 29.608
3894.4 29.993
3895.5 29.809
3896.5 28.387
3897.6 28.691
3898.7 28.844
3899.8 31.11
3900.9 29.65
3901.9 28.538
3903.0 30.961
3904.1 29.549
3905.2 29.682
3906.3 29.228
3907.4 27.761
3908.4 28.61
3909.5 27.868
3910.6 28.463
3911.7 28.697
3912.8 30.952
3913.9 30.064
3914.9 29.176
3916.0 28.875
3917.1 28.081
3918.2 26.747
3919.3 29.758
3920.3 29.642
3921.4 30.47
3922.5 29.773
3923.6 28.627
3924.7 28.335
3925.8 28.479
3926.8 28.288
3927.9 30.242
3929.0 30.573
3930.1 28.082
3931.2 29.716
3932.3 28.949
3933.3 27.531
3934.4 27.704
3935.5 27.248
3936.6 28.774
3937.7 29.439
3938.7 27.733
3939.8 28.803
3940.9 28.715
3942.0 28.034
3943.1 28.691
3944.2 28.215
3945.2 28.007
3946.3 28.911
3947.4 28.25
3948.5 28.368
3949.6 27.446
3950.7 28.265
3951.7 26.361
3952.8 27.651
3953.9 27.319
3955.0 27.203
3956.1 26.619
3957.2 27.707
3958.2 28.748
3959.3 27.835
3960.4 28.933
3961.5 27.602
3962.6 29.608
3963.7 29.261
3964.7 29.573
3965.8 27.668
3966.9 28.111
3968.0 28.46
3969.1 28.715
3970.2 27.467
3971.2 28.871
3972.3 29.935
3973.4 29.089
3974.5 27.909
3975.6 28.436
3976.7 28.49
3977.8 28.155
3978.8 26.548
3979.9 27.297
3981.0 29.635
3982.1 29.635
3983.2 28.446
3984.3 29.858
3985.3 28.082
3986.4 27.011
3987.5 28.094
3988.6 28.035
3989.7 28.825
3990.8 26.784
3991.8 28.245
3992.9 27.895
3994.0 27.687
3995.1 28.305
3996.2 27.001
3997.3 27.536
3998.3 28.783
3999.4 26.595
4000.5 28.129
4001.6 26.649
4002.7 28.552
4003.8 26.047
4004.9 26.425
4005.9 27.026
4007.0 27.3
4008.1 26.063
4009.2 27.737
4010.3 25.723
4011.4 30.22
4012.4 26.485
4013.5 27.018
4014.6 28.824
4015.7 29.283
4016.8 27.038
4017.9 28.178
4018.9 24.873
4020.0 27.341
4021.1 27.826
4022.2 25.545
4023.3 27.29
4024.4 26.692
4025.5 24.783
4026.5 27.701
4027.6 27.915
4028.7 26.003
4029.8 27.152
4030.9 27.817
4032.0 27.647
4033.1 27.553
4034.1 25.755
4035.2 25.75
4036.3 26.516
4037.4 25.626
4038.5 26.158
4039.6 25.692
4040.6 24.561
4041.7 24.052
4042.8 26.543
4043.9 25.778
4045.0 25.666
4046.1 28.455
4047.2 26.533
4048.2 29.334
4049.3 25.802
4050.4 26.877
4051.5 29.158
4052.6 27.0
4053.7 26.565
4054.8 27.073
4055.8 26.456
4056.9 28.479
4058.0 25.665
4059.1 27.118
4060.2 27.076
4061.3 27.92
4062.3 28.244
4063.4 27.842
4064.5 27.167
4065.6 26.18
4066.7 26.028
4067.8 25.645
4068.9 24.82
4069.9 26.177
4071.0 25.15
4072.1 26.219
4073.2 24.856
4074.3 25.65
4075.4 25.662
4076.5 25.959
4077.5 25.708
4078.6 25.511
4079.7 26.857
4080.8 25.108
4081.9 27.17
4083.0 26.185
4084.1 24.017
4085.1 27.207
4086.2 26.335
4087.3 28.154
4088.4 23.963
4089.5 26.798
4090.6 26.83
4091.7 28.047
4092.7 25.096
4093.8 26.367
4094.9 24.05
4096.0 26.789
4097.1 24.072
4098.2 24.457
4099.3 26.785
4100.3 27.861
4101.4 26.761
4102.5 25.782
4103.6 26.112
4104.7 24.165
4105.8 28.521
4106.9 24.377
4107.9 23.284
4109.0 24.397
4110.1 25.77
4111.2 24.955
4112.3 25.545
4113.4 24.827
4114.5 25.462
4115.6 25.065
4116.6 23.713
4117.7 23.737
4118.8 24.553
4119.9 23.969
4121.0 24.215
4122.1 24.244
4123.2 25.092
4124.2 25.179
4125.3 26.848
4126.4 25.007
4127.5 26.635
4128.6 25.191
4129.7 24.73
4130.8 23.822
4131.8 25.762
4132.9 25.244
4134.0 23.415
4135.1 24.524
4136.2 25.471
4137.3 24.932
4138.4 24.834
4139.4 25.914
4140.5 25.119
4141.6 26.224
4142.7 24.965
4143.8 26.227
4144.9 25.682
4146.0 25.196
4147.1 25.389
4148.1 26.467
4149.2 25.151
4150.3 25.426
4151.4 26.578
4152.5 24.105
4153.6 24.405
4154.7 26.194
4155.7 25.14
4156.8 27.622
4157.9 25.493
4159.0 25.479
4160.1 25.189
4161.2 24.981
4162.3 24.639
4163.4 25.871
4164.4 25.325
4165.5 24.969
4166.6 25.986
4167.7 24.831
4168.8 26.997
4169.9 23.99
4171.0 25.927
4172.0 23.513
4173.1 23.156
4174.2 26.202
4175.3 23.816
4176.4 25.0
4177.5 24.038
4178.6 24.903
4179.7 26.547
4180.7 24.76
4181.8 25.84
4182.9 24.264
4184.0 23.276
4185.1 24.427
4186.2 25.238
4187.3 23.985
4188.3 25.831
4189.4 25.303
4190.5 25.301
4191.6 25.376
4192.7 26.464
4193.8 24.269
4194.9 25.776
4196.0 25.15
4197.0 25.158
4198.1 24.614
4199.2 24.964
4200.3 24.279
4201.4 24.859
4202.5 25.783
4203.6 25.859
4204.6 22.853
4205.7 26.002
4206.8 23.889
4207.9 26.109
4209.0 25.325
4210.1 23.807
4211.2 24.981
4212.3 23.602
4213.3 23.794
4214.4 25.484
4215.5 25.151
4216.6 23.055
4217.7 22.888
4218.8 23.321
4219.9 22.86
4221.0 22.583
4222.0 22.157
4223.1 22.672
4224.2 22.01
4225.3 24.089
4226.4 23.289
4227.5 24.052
4228.6 21.337
4229.7 23.691
4230.7 23.781
4231.8 23.797
4232.9 23.698
4234.0 24.054
4235.1 25.345
4236.2 23.362
4237.3 25.177
4238.3 23.858
4239.4 23.661
4240.5 24.334
4241.6 25.098
4242.7 22.087
4243.8 25.241
4244.9 23.731
4246.0 24.172
4247.0 24.976
4248.1 24.169
4249.2 23.112
4250.3 22.508
4251.4 23.158
4252.5 24.921
4253.6 22.728
4254.7 21.053
4255.7 23.153
4256.8 21.429
4257.9 21.578
4259.0 23.919
4260.1 22.95
4261.2 21.014
4262.3 21.762
4263.4 23.06
4264.4 22.269
4265.5 23.247
4266.6 22.816
4267.7 24.324
4268.8 24.796
4269.9 21.869
4271.0 25.949
4272.1 25.788
4273.1 26.101
4274.2 22.799
4275.3 25.134
4276.4 24.33
4277.5 24.688
4278.6 24.241
4279.7 25.7
4280.8 25.245
4281.8 23.41
4282.9 26.098
4284.0 24.844
4285.1 25.721
4286.2 26.105
4287.3 25.105
4288.4 25.218
4289.5 23.476
4290.5 26.033
4291.6 25.62
4292.7 25.78
4293.8 24.685
4294.9 24.404
4296.0 23.02
4297.1 24.28
4298.2 25.433
4299.2 23.32
4300.3 23.352
4301.4 25.652
4302.5 26.886
4303.6 24.544
4304.7 26.513
4305.8 25.284
4306.9 24.887
4307.9 26.871
4309.0 24.846
4310.1 26.519
4311.2 25.93
4312.3 25.106
4313.4 27.197
4314.5 26.379
4315.6 25.814
4316.6 26.365
4317.7 25.113
4318.8 23.398
4319.9 24.4
4321.0 23.734
4322.1 24.382
4323.2 24.623
4324.3 23.8
4325.3 24.371
4326.4 24.743
4327.5 24.507
4328.6 25.558
4329.7 24.85
4330.8 24.188
4331.9 25.001
4333.0 25.483
4334.0 26.026
4335.1 24.069
4336.2 25.912
4337.3 25.572
4338.4 25.064
4339.5 25.222
4340.6 25.534
4341.7 23.699
4342.7 26.973
4343.8 25.353
4344.9 22.604
4346.0 24.983
4347.1 23.78
4348.2 24.19
4349.3 25.49
4350.4 25.136
4351.4 24.291
4352.5 22.932
4353.6 22.994
4354.7 23.881
4355.8 23.273
4356.9 23.413
4358.0 25.487
4359.1 22.212
4360.1 22.819
4361.2 25.131
4362.3 24.765
4363.4 25.391
4364.5 25.243
4365.6 24.535
4366.7 23.719
4367.8 23.635
4368.9 23.434
4369.9 23.489
4371.0 24.341
4372.1 23.982
4373.2 23.708
4374.3 23.367
4375.4 25.928
4376.5 23.855
4377.6 25.109
4378.6 24.124
4379.7 24.344
4380.8 25.309
4381.9 23.299
4383.0 24.388
4384.1 24.746
4385.2 25.17
4386.3 25.65
4387.3 26.06
4388.4 25.078
4389.5 25.024
4390.6 24.695
4391.7 23.03
4392.8 21.647
4393.9 23.652
4395.0 24.418
4396.0 23.792
4397.1 22.814
4398.2 22.864
4399.3 22.395
4400.4 23.704
4401.5 25.508
4402.6 24.873
4403.7 23.624
4404.7 22.085
4405.8 21.821
4406.9 26.276
4408.0 25.871
4409.1 23.121
4410.2 25.619
4411.3 24.195
4412.4 23.174
4413.4 25.715
4414.5 24.73
4415.6 24.528
4416.7 24.256
4417.8 24.287
4418.9 24.039
4420.0 23.776
4421.1 24.581
4422.1 21.701
4423.2 23.065
4424.3 23.65
4425.4 22.866
4426.5 24.905
4427.6 22.103
4428.7 24.989
4429.8 22.445
4430.9 23.275
4431.9 23.859
4433.0 25.37
4434.1 24.501
4435.2 21.163
4436.3 23.162
4437.4 24.428
4438.5 24.412
4439.6 24.835
4440.6 24.546
4441.7 24.182
4442.8 23.902
4443.9 23.64
4445.0 21.937
4446.1 21.89
4447.2 22.079
4448.3 22.866
4449.3 22.396
4450.4 22.464
4451.5 25.061
4452.6 21.702
4453.7 23.143
4454.8 22.428
4455.9 22.331
4457.0 22.066
4458.0 24.529
4459.1 22.031
4460.2 24.791
4461.3 22.874
4462.4 21.572
4463.5 22.656
4464.6 22.392
4465.7 23.923
4466.7 23.535
4467.8 20.412
4468.9 24.403
4470.0 23.282
4471.1 22.919
4472.2 21.833
4473.3 24.151
4474.4 22.235
4475.4 21.438
4476.5 22.181
4477.6 25.127
4478.7 23.914
4479.8 21.12
4480.9 22.546
4482.0 21.536
4483.1 21.87
4484.1 22.033
4485.2 21.423
4486.3 22.176
4487.4 21.603
4488.5 20.724
4489.6 23.609
4490.7 24.767
4491.8 21.886
4492.8 24.255
4493.9 22.589
4495.0 22.745
4496.1 24.722
4497.2 22.783
4498.3 22.888
4499.4 21.883
4500.5 22.755
4501.6 21.547
4502.6 21.178
4503.7 22.427
4504.8 21.665
4505.9 22.499
4507.0 21.087
4508.1 22.23
4509.2 22.407
4510.3 21.772
4511.3 20.813
4512.4 21.117
4513.5 21.386
4514.6 20.134
4515.7 20.879
4516.8 22.664
4517.9 22.52
4519.0 24.133
4520.0 22.642
4521.1 20.552
4522.2 21.821
4523.3 23.828
4524.4 20.011
4525.5 22.507
4526.6 22.68
4527.7 21.044
4528.7 19.763
4529.8 22.365
4530.9 20.232
4532.0 20.844
4533.1 22.773
4534.2 20.434
4535.3 19.466
4536.4 20.222
4537.4 24.097
4538.5 22.496
4539.6 20.76
4540.7 22.618
4541.8 21.539
4542.9 21.805
4544.0 21.229
4545.1 22.168
4546.1 19.256
4547.2 22.535
4548.3 22.386
4549.4 22.436
4550.5 22.321
4551.6 24.127
4552.7 23.136
4553.8 20.614
4554.8 21.169
4555.9 22.508
4557.0 22.6
4558.1 20.716
4559.2 21.296
4560.3 21.134
4561.4 22.91
4562.5 21.271
4563.5 21.969
4564.6 20.197
4565.7 20.296
4566.8 21.269
4567.9 18.791
4569.0 20.989
4570.1 20.903
4571.2 21.028
4572.2 21.458
4573.3 21.991
4574.4 22.86
4575.5 22.117
4576.6 19.027
4577.7 20.652
4578.8 21.897
4579.9 21.925
4580.9 21.598
4582.0 19.868
4583.1 20.052
4584.2 19.259
4585.3 20.524
4586.4 19.848
4587.5 22.54
4588.6 20.943
4589.6 19.403
4590.7 19.618
4591.8 20.956
4592.9 20.459
4594.0 22.842
4595.1 20.763
4596.2 21.251
4597.3 21.323
4598.3 20.8
4599.4 20.38
4600.5 20.073
4601.6 18.966
4602.7 19.177
4603.8 18.695
4604.9 22.053
4606.0 20.278
4607.0 20.617
4608.1 21.768
4609.2 20.112
4610.3 20.968
4611.4 20.436
4612.5 20.456
4613.6 20.233
4614.7 19.714
4615.7 20.626
4616.8 21.003
4617.9 19.7
4619.0 19.556
4620.1 19.729
4621.2 18.468
4622.3 18.488
4623.4 21.298
4624.4 19.589
4625.5 19.673
4626.6 19.545
4627.7 19.803
4628.8 19.767
4629.9 20.448
4631.0 20.639
4632.1 21.533
4633.1 20.57
4634.2 20.806
4635.3 20.07
4636.4 21.427
4637.5 22.571
4638.6 21.334
4639.7 20.295
4640.8 19.866
4641.8 19.31
4642.9 20.659
4644.0 21.309
4645.1 20.497
4646.2 20.248
4647.3 20.351
4648.4 20.187
4649.5 20.047
4650.5 22.392
4651.6 21.842
4652.7 19.626
4653.8 20.626
4654.9 19.628
4656.0 18.892
4657.1 19.582
4658.2 21.577
4659.2 21.403
4660.3 20.388
4661.4 20.809
4662.5 20.503
4663.6 20.802
4664.7 22.011
4665.8 20.954
4666.9 21.995
4667.9 20.933
4669.0 19.656
4670.1 21.04
4671.2 20.591
4672.3 21.972
4673.4 20.254
4674.5 21.44
4675.6 21.805
4676.6 21.148
4677.7 19.888
4678.8 20.547
4679.9 22.313
4681.0 20.584
4682.1 21.586
4683.2 21.886
4684.3 20.582
4685.3 19.635
4686.4 20.582
4687.5 21.789
4688.6 20.938
4689.7 21.354
4690.8 21.69
4691.9 21.457
4693.0 20.872
4694.0 21.438
4695.1 20.498
4696.2 22.049
4697.3 19.987
4698.4 20.444
4699.5 20.242
4700.6 21.337
4701.7 21.038
4702.7 19.804
4703.8 18.308
4704.9 20.188
4706.0 21.424
4707.1 19.263
4708.2 20.311
4709.3 20.06
4710.4 21.463
4711.4 22.514
4712.5 21.45
4713.6 20.993
4714.7 19.88
4715.8 21.186
4716.9 20.24
4718.0 21.394
4719.0 21.347
4720.1 21.032
4721.2 20.69
4722.3 20.766
4723.4 21.607
4724.5 20.956
4725.6 20.267
4726.7 21.453
4727.7 20.633
4728.8 21.212
4729.9 21.097
4731.0 20.258
4732.1 20.394
4733.2 20.426
4734.3 21.37
4735.4 20.5
4736.4 19.597
4737.5 19.28
4738.6 20.446
4739.7 19.943
4740.8 20.148
4741.9 20.45
4743.0 20.803
4744.1 20.802
4745.1 20.423
4746.2 20.555
4747.3 20.01
4748.4 21.012
4749.5 20.972
4750.6 21.738
4751.7 20.271
4752.8 18.382
4753.8 20.274
4754.9 20.946
4756.0 20.758
4757.1 19.734
4758.2 20.121
4759.3 20.08
4760.4 19.525
4761.5 19.902
4762.5 19.956
4763.6 19.766
4764.7 20.464
4765.8 20.092
4766.9 19.807
4768.0 19.493
4769.1 19.931
4770.1 19.531
4771.2 19.42
4772.3 21.402
4773.4 20.46
4774.5 19.297
4775.6 20.163
4776.7 20.115
4777.8 19.454
4778.8 19.99
4779.9 20.369
4781.0 20.041
4782.1 20.931
4783.2 20.585
4784.3 19.906
4785.4 19.69
4786.5 20.322
4787.5 20.865
4788.6 20.748
4789.7 20.206
4790.8 21.126
4791.9 19.54
4793.0 20.464
4794.1 19.726
4795.2 19.079
4796.2 18.399
4797.3 19.655
4798.4 21.237
4799.5 20.898
4800.6 19.915
4801.7 19.826
4802.8 20.749
4803.9 20.813
4804.9 20.304
4806.0 20.048
4807.1 19.695
4808.2 18.424
4809.3 19.002
4810.4 20.103
4811.5 21.062
4812.6 20.683
4813.6 19.686
4814.7 19.516
4815.8 20.096
4816.9 20.698
4818.0 20.767
4819.1 20.724
4820.2 19.884
4821.2 19.328
4822.3 18.359
4823.4 20.091
4824.5 21.374
4825.6 20.709
4826.7 19.06
4827.8 18.907
4828.9 19.409
4829.9 21.332
4831.0 20.811
4832.1 19.948
4833.2 20.758
4834.3 20.561
4835.4 19.821
4836.5 20.069
4837.6 20.138
4838.6 19.85
4839.7 20.435
4840.8 20.883
4841.9 19.664
4843.0 20.198
4844.1 20.009
4845.2 20.447
4846.3 20.021
4847.3 21.097
4848.4 21.074
4849.5 22.04
4850.6 20.36
4851.7 20.637
4852.8 20.469
4853.9 20.666
4855.0 19.714
4856.0 21.657
4857.1 21.952
4858.2 20.811
4859.3 20.448
4860.4 21.458
4861.5 21.262
4862.6 19.951
4863.7 20.138
4864.7 21.311
4865.8 22.107
4866.9 20.798
4868.0 20.465
4869.1 20.008
4870.2 19.413
4871.3 21.341
4872.4 21.844
4873.4 21.694
4874.5 19.669
4875.6 20.65
4876.7 20.805
4877.8 19.184
4878.9 20.479
4880.0 20.206
4881.0 19.767
4882.1 19.456
4883.2 19.829
4884.3 19.378
4885.4 20.475
4886.5 20.192
4887.6 19.704
4888.7 19.917
4889.7 19.559
4890.8 20.143
4891.9 19.325
4893.0 19.142
4894.1 21.509
4895.2 21.423
4896.3 20.573
4897.4 19.772
4898.4 20.662
4899.5 21.419
4900.6 21.807
4901.7 21.373
4902.8 20.571
4903.9 20.371
4905.0 21.219
4906.1 19.997
4907.1 18.966
4908.2 19.034
4909.3 20.359
4910.4 21.018
4911.5 21.588
4912.6 20.433
4913.7 21.082
4914.8 21.585
4915.8 21.65
4916.9 19.944
4918.0 19.51
4919.1 20.947
4920.2 20.62
4921.3 20.258
4922.4 20.329
4923.5 19.642
4924.5 19.44
4925.6 20.227
4926.7 20.283
4927.8 21.875
4928.9 20.623
4930.0 21.615
4931.1 19.973
4932.2 19.931
4933.2 20.464
4934.3 20.21
4935.4 20.262
4936.5 19.898
4937.6 21.142
4938.7 19.657
4939.8 20.072
4940.9 20.005
4941.9 21.319
4943.0 20.712
4944.1 19.724
4945.2 19.677
4946.3 20.359
4947.4 20.052
4948.5 19.067
4949.6 20.174
4950.6 20.445
4951.7 19.565
4952.8 20.898
4953.9 22.218
4955.0 22.166
4956.1 21.328
4957.2 21.514
4958.3 20.484
4959.3 20.367
4960.4 19.571
4961.5 20.153
4962.6 20.585
4963.7 20.935
4964.8 21.377
4965.9 22.139
4967.0 21.524
4968.0 21.575
4969.1 21.503
4970.2 20.588
4971.3 20.709
4972.4 20.394
4973.5 19.557
4974.6 20.734
4975.7 21.368
4976.7 19.925
4977.8 19.447
4978.9 20.688
4980.0 21.34
4981.1 20.849
4982.2 20.78
4983.3 20.49
4984.4 21.134
4985.4 20.05
4986.5 19.012
4987.6 20.802
4988.7 21.127
4989.8 19.487
4990.9 19.516
4992.0 19.439
4993.1 20.359
4994.1 20.353
4995.2 20.643
4996.3 19.538
4997.4 20.185
4998.5 22.403
4999.6 21.617
5000.7 20.82
5001.8 19.52
5002.9 19.544
5003.9 20.679
5005.0 19.341
5006.1 19.915
5007.2 19.912
5008.3 21.157
5009.4 21.184
5010.5 21.262
5011.6 19.809
5012.6 20.363
5013.7 21.873
5014.8 21.501
5015.9 20.378
5017.0 20.856
5018.1 19.032
5019.2 21.307
5020.3 19.125
5021.3 18.842
5022.4 19.06
5023.5 19.729
5024.6 19.87
5025.7 19.772
5026.8 20.541
5027.9 20.004
5029.0 21.605
5030.0 19.614
5031.1 18.917
5032.2 20.021
5033.3 20.125
5034.4 18.999
5035.5 20.208
5036.6 19.913
5037.7 20.913
5038.8 19.816
5039.8 20.842
5040.9 19.402
5042.0 21.104
5043.1 19.976
5044.2 21.107
5045.3 20.686
5046.4 20.9
5047.5 18.848
5048.5 19.634
5049.6 20.627
5050.7 21.136
5051.8 18.789
5052.9 19.51
5054.0 20.409
5055.1 19.713
5056.2 21.209
5057.3 19.605
5058.3 19.69
5059.4 20.449
5060.5 19.643
5061.6 21.4
5062.7 20.108
5063.8 19.759
5064.9 19.135
5066.0 19.535
5067.0 19.678
5068.1 20.871
5069.2 20.88
5070.3 20.993
5071.4 19.617
5072.5 20.764
5073.6 18.221
5074.7 19.333
5075.8 19.624
5076.8 18.939
5077.9 19.323
5079.0 20.501
5080.1 18.712
