Date,t,Array Configuration,Frequency,Flux Density
2019 May 24,55,B,5,0.09 +or- 0.01
2019 May 24,55,B,7,0.19 +or- 0.01
2019 May 24,55,B,13,0.48 +or- 0.02
2019 May 24,55,B,15,0.54 +or- 0.02
2019 May 24,55,B,17,0.58 +or- 0.02
2019 May 29,60,B,3.4,0.077 +or- 0.03
2019 May 29,60,B,9,0.43 +or- 0.03
2019 May 29,60,B,11,0.51 +or- 0.02
2019 May 29,60,B,13,0.63 +or- 0.04
2019 May 29,60,B,15,0.61 +or- 0.03
2019 May 29,60,B,17,0.68 +or- 0.03
2019 May 29,60,B,19,0.73 +or- 0.04
2019 May 29,60,B,21,0.71 +or- 0.05
2019 May 29,60,B,23,0.67 +or- 0.04
2019 May 29,60,B,25,0.59 +or- 0.04
2019 May 29,60,B,30,0.59 +or- 0.04
2019 May 29,60,B,32,0.48 +or- 0.04
2019 May 29,60,B,34,0.51 +or- 0.08
2019 May 29,60,B,36,0.46 +or- 0.05
2019 June 20,82,B,5,0.26 +or- 0.02
2019 June 20,82,B,7,0.49 +or- 0.02
2019 June 20,82,B,9,0.68 +or- 0.02
2019 June 20,82,B,11,0.72 +or- 0.03
2019 June 20,82,B,13,0.75 +or- 0.02
2019 June 20,82,B,15,0.65 +or- 0.03
2019 June 20,82,B,17,0.63 +or- 0.02
2019 June 20,82,B,19,0.51 +or- 0.03
2019 June 20,82,B,21,0.46 +or- 0.04
2019 June 20,82,B,23,0.43 +or- 0.05
2019 June 20,82,B,25,0.40 +or- 0.03
2019 June 20,82,B,30,0.33 +or- 0.04
2019 June 20,82,B,32,0.27 +or- 0.03
2019 June 20,82,B,34,0.31 +or- 0.03
2019 June 20,82,B,36,0.24 +or- 0.04
2019 June 22,84,C43-9/10,97.5,0.07 +or- 0.01
2019 Sept 7,161,A,2.6,0.29 +or- 0.03
2019 Sept 7,161,A,3.4,0.42 +or- 0.03
2019 Sept 7,161,A,5,0.56 +or- 0.02
2019 Sept 7,161,A,7,0.89 +or- 0.02
2019 Sept 7,161,A,9,1.03 +or- 0.03
2019 Sept 7,161,A,11,1.08 +or- 0.05
2019 Sept 7,161,A,13,1.02 +or- 0.02
2019 Sept 7,161,A,15,0.91 +or- 0.02
2019 Sept 7,161,A,17,0.80 +or- 0.04
2019 Sept 7,161,A,19,0.70 +or- 0.04
2019 Sept 7,161,A,21,0.62 +or- 0.05
2019 Sept 7,161,A,23,0.58 +or- 0.06
2019 Sept 7,161,A,25,0.41 +or- 0.05
2019 Sept 17,188,C43-6,97.5,<0.09
2020 Jan 24,300,D,2.6,0.67 +or- 0.04
2020 Jan 24,300,D,3.4,0.82 +or- 0.03
2020 Jan 24,300,D,5,0.79 +or- 0.03
2020 Jan 24,300,D,7,0.68 +or- 0.03
2020 Jan 24,300,D,9,0.46 +or- 0.03
2020 Jan 24,300,D,11,0.48 +or- 0.45
2020 Jan 24,300,D,13,0.31 +or- 0.02
2020 Jan 24,300,D,15,0.27 +or- 0.02
2020 Jan 24,300,D,17,0.23 +or- 0.03
2020 Oct 11,561,B,1.5,0.35 +or- 0.05
2020 Oct 11,561,B,2.6,0.26 +or- 0.02
2020 Oct 11,561,B,3.4,0.17 +or- 0.01
2020 Oct 11,561,B,6.0,0.13 +or- 0.01
